Gene name,Average UMI per cell (homeostatic microglia),Fold-change (DAM to homeostatic microglia),-log10(DAM) p-value (Mann-Whitney),DAM FDR p-value
Ndufa6,0.269118,0.378038,1.0045,0.72296
Cdca7,0.040882,-1.428998,1.004099,0.722767
Arpp19,0.152059,0.44365,1.003941,0.722817
Phf21a,0.066765,-0.994586,1.003204,0.722288
Tbc1d8,0.044706,0.743906,1.003045,0.722337
Fyb,0.425588,-0.675365,1.001386,0.720884
Camk2d,0.140588,-0.859451,1.000931,0.720637
Uvrag,0.095294,-0.739704,1.000648,0.720561
Mosc2,0.256765,-0.882593,0.998204,0.718324
Trim24,0.049706,0.074939,0.996693,0.717021
Arsb,1.082059,-0.345137,0.996335,0.716869
Acbd6,0.074706,-0.05869,0.996017,0.716758
Pyhin1,0.013235,1.588037,0.995903,0.716851
Bmpr2,0.095,-1.060485,0.994196,0.715351
Vezf1,0.138824,-0.952649,0.993766,0.715128
Exoc8,0.145294,-1.472549,0.993763,0.71533
Rnf41,0.065,0.567622,0.993617,0.715391
Mpp5,0.068824,-0.324157,0.991553,0.713534
Cgrrf1,0.070588,-0.885104,0.990368,0.712555
Stk24,0.145,-1.345297,0.990225,0.712617
Akr1e1,0.017353,1.375584,0.98977,0.712369
Atxn2,0.121176,-1.395107,0.987955,0.71076
Sparcl1,0.002059,2.484039,0.98777,0.71078
Tcf19,0.001471,4.532402,0.98777,0.710986
Zcchc7,0.078529,-0.802469,0.98625,0.709672
Tmem209,0.067647,-1.804075,0.983739,0.707366
Slc43a3,0.036176,-0.277662,0.983709,0.707541
Ddx26b,0.221176,-0.52787,0.983431,0.707469
Ssx2ip,0.015882,0.720931,0.982638,0.706881
Ddx10,0.040588,-2.817131,0.98253,0.706978
2810428I15Rik,0.054412,0.907911,0.982331,0.706984
Prkacb,0.193824,-0.377354,0.981046,0.705904
