,AGED_logFC,AGED_FDR_p,APP_logFC,APP_FDR_p,ERCC1_logFC,ERCC1_FDR_p,SOD1_logFC,SOD1_FDR_p,LPS_LogFC,LPS_FDR_P
MLH1,0.003927259,0.975651951,-0.125493432,0.201072173,-0.049407925,0.822300174,-0.526654883,0.639120115,-0.186475492,0.31651421
MRGPRA6,-0.023640346,0.699554342,-0.188787011,0.63575854,0.046663809,0.707567052,1.693390151,0.639120115,0.002685827,0.970668527
SDAD1,0.303238086,0.061347213,0.055357257,0.588005729,0.093091588,0.62600299,-0.492585421,0.639120115,0.977176434,1.15E-07
SLC38A1,-0.008889674,0.958572331,0.037670244,0.705460302,-0.110487227,0.76327404,0.484387579,0.639120115,-0.336976787,0.042141204
TMED4,0.02916589,0.760668557,0.101708835,0.457212864,-0.039459487,0.858975357,0.591318029,0.639120115,-0.314541723,0.009911021
DTWD1,0.131964993,0.125853301,-0.097687875,0.568131381,0.032108738,0.861513901,-0.984602378,0.639219587,-0.272713296,0.009343503
REPS2,-0.025238384,0.569090133,0.38931545,0.003078029,0.004813501,0.96134942,0.436795067,0.639637738,0.009039112,0.889357137
AGTRAP,-0.014286541,0.925508986,0.282319512,0.154999437,0.029299355,0.881143036,0.475854054,0.639904495,-0.468370482,0.001630505
CAMK2N1,0.013556441,0.951876069,-1.202318515,2.93E-06,-0.281908681,0.038024955,-0.566564765,0.639904495,-0.10914961,0.530524808
CCNL1,0.140469901,0.395534384,0.067246388,0.863599331,0.168255545,0.262423359,-0.390801538,0.639904495,1.116227023,1.37E-06
CD163,0.35961459,0.010177197,-0.536890122,0.001550012,0.384236442,0.570059091,0.565731415,0.639904495,-0.144276586,0.720909345
CHKB,-0.141437602,0.213469297,-0.170911597,0.191188789,-0.061596534,0.806367877,-0.501956251,0.639904495,0.185875624,0.40635301
CKAP5,-0.064183895,0.712612054,0.133768028,0.36458366,0.03643141,0.880923318,0.502161746,0.639904495,0.040026914,0.765753122
E2F5,-0.359396546,0.004709459,0.000880796,0.998038702,-0.051273561,0.748380038,0.678342862,0.639904495,0.141213416,0.359634499
FYCO1,0.065814602,0.856247243,-0.144604478,0.679487344,-0.056759997,0.892059684,0.271466274,0.639904495,-0.772882844,0.000162003
GLRX5,-0.005270417,0.976518046,0.131078275,0.187603154,0.172457846,0.163597545,0.919754241,0.639904495,-0.019461146,0.873064367
ING4,-0.41723664,0.005737061,-0.097148298,0.203975371,-0.009776362,0.976008709,-0.601301015,0.639904495,-0.959543464,9.58E-05
PIGH,-0.037029533,0.582365656,-0.084217137,0.621011045,-0.173486987,0.233935614,0.924884611,0.639904495,-0.515515209,0.013195884
PTPRU,0.048139367,0.471761303,0.616739075,4.16E-06,0.01704105,0.931408632,-0.971121124,0.639904495,0.010477982,0.920235784
RDH16,0.011026307,0.955186098,0.062972331,0.426362188,0.001929467,0.99339013,0.707840574,0.639904495,-0.054631914,0.585772665
ZFP459,0.011847961,0.959381594,-0.020661381,0.869797467,-0.067748992,0.764552089,-0.330331775,0.639904495,-0.098524034,0.510167072
APBB1IP,-0.004028383,0.984211324,-0.021349141,0.944044696,-0.067227543,0.750591858,-0.41056855,0.640085193,-0.45995952,0.008008034
CCL7,-0.017367553,0.691177921,-1.016155397,0.022778801,0.294505693,0.01889816,-1.04308157,0.640085193,1.667286796,1.87E-10
FIS1,0.144585887,0.395674298,-0.023676024,0.907732208,0.133355564,0.499757203,0.746807907,0.640085193,0.078861073,0.549381839
GADD45G,-0.594425539,0.131407106,-0.539254716,0.008940799,-0.225066175,0.54575186,0.834467233,0.640085193,2.908125792,6.57E-07
GLRX2,-0.099728601,0.598081335,0.156933873,0.104737701,-0.083559421,0.688176409,-0.315058855,0.640085193,-0.309660053,0.15918353
IDI2,0.018687752,0.897871403,0.009835426,0.977805053,-0.026742329,0.84941534,0.730090858,0.640085193,-0.078740164,0.359634499
OLFR549,-0.021395727,0.707418467,0.030812353,0.925254106,0.041533497,0.615931812,2.192272613,0.640085193,0.041140684,0.592450113
OLFR725,0.05357666,0.642452142,-0.013346874,0.917350099,0.078032751,0.785820072,-2.521481676,0.640085193,0.024916235,0.767653121
RHOX8,-0.012878889,0.872444906,-0.073166871,0.934442888,-0.034063057,0.716596273,-0.439748443,0.640085193,0.088377777,0.210885013
TNFRSF18,-0.008488079,0.90390581,0.170615487,0.568930667,0.013817734,0.905366773,1.443028416,0.640085193,-0.030277256,0.658964957
PALMD,0.013386172,0.897658934,0.104891679,0.375538513,-0.112287748,0.526715393,-0.967048335,0.640211473,0.102242234,0.192520782
CASP7,0.100094013,0.693072545,0.100243989,0.322912478,0.269696448,0.011070742,0.680004634,0.640360035,0.015374223,0.885024218
CDH2,-0.0861581,0.37227075,-0.026290418,0.917654697,0.019135683,0.945222889,1.099803994,0.640411017,-0.074832786,0.205772122
FEZ1,0.027011427,0.616569206,0.033081844,0.765642306,-0.106707445,0.63856971,-0.949231867,0.640411017,0.139753547,0.352603809
ARHGAP27,-0.208613868,0.033040975,-0.53621397,0.000444849,-0.177537273,0.231423102,-0.555466169,0.640413387,-0.24081136,0.013126438
SPRN,0.062771862,0.731676772,-0.03847763,0.745075337,0.014971763,0.922012986,-2.352256172,0.640413387,0.010663022,0.962807798
SUZ12,0.306476554,0.015131356,0.165670604,0.581266658,0.073594626,0.588900113,0.540143837,0.640413387,0.11647392,0.376770145
CBS,-0.011952615,0.913753578,-0.27020719,0.026202139,-0.000425584,0.998536328,-1.617414137,0.640647398,-0.031229287,0.61098624
ARL8A,-0.081864568,0.36401279,-0.005611081,0.980826649,0.043501954,0.833052246,0.500325878,0.64069197,-0.332251057,0.005871196
UBE2J2,0.428993801,0.256422352,-0.106184857,0.171981494,-0.326870575,0.13031283,0.442391067,0.64069197,0.020824532,0.948735035
USP25,0.211986158,0.313906125,0.129166055,0.687756527,0.225162686,0.041994889,0.416065551,0.64069197,-0.188810238,0.122249923
CD40,0.055517614,0.787274804,0.107625367,0.738399525,0.195500641,0.317503011,1.229272497,0.640918089,2.350929274,6.37E-07
KIFC2,0.062153858,0.320780311,-0.379690302,0.001192924,-0.093928667,0.225280554,-0.827223134,0.640918089,-0.040393073,0.720230241
MOV10,-0.011735825,0.834632219,0.143470841,0.488093875,0.064482226,0.766322405,0.800439634,0.640918089,-0.012771568,0.95042597
OLFR1170,-0.012165768,0.792315792,0.137937922,0.271577267,0.00998787,0.913890621,1.667265416,0.640918089,0.118488746,0.176764835
ZCCHC10,-0.031744105,0.903255594,-0.162082578,0.121116084,0.087460973,0.697090101,0.625203076,0.640918089,0.42188519,0.014744611
COMMD9,-0.120227199,0.670203226,0.048526722,0.670834528,-0.035611737,0.859407051,0.92282336,0.640918941,0.074867995,0.29714189
D6WSU163E,-0.176044782,0.425685714,-0.308499151,0.003213573,-0.19068018,0.028238488,-0.485270591,0.640918941,-1.016378058,7.30E-06
DHX58,0.592463364,0.000675656,0.496677982,0.003599093,0.843213115,5.92E-09,0.799216821,0.640918941,0.039183954,0.697520884
SECISBP2,0.114093992,0.460657114,-0.203035264,0.077872523,-0.067102,0.806367877,-0.474532493,0.640918941,-0.116047853,0.663503777
SERINC3,-0.263069737,0.001579225,-1.045629274,1.97E-06,-0.159372423,0.005002271,-0.330456332,0.640918941,-0.177653316,0.010890538
SSH3,0.044073374,0.846701982,0.268208459,0.018762994,-0.045882933,0.688176409,0.891656961,0.640918941,0.113230599,0.215676555
STARD4,0.299530127,0.013325965,1.146197236,5.68E-07,0.017923754,0.888937726,0.752309731,0.640918941,0.037464252,0.733893375
LIN7C,0.076655179,0.654601882,-0.111094781,0.646758088,-0.036525886,0.897063067,0.598368646,0.640958256,0.467524356,0.00012222
OLFR1497,-0.002469049,0.969448812,0.073833256,0.308601505,0.032205776,0.820010419,2.164284557,0.641132885,0.05101763,0.465726561
PIK3C3,-0.192123224,0.118061742,-0.017281717,0.95098559,-0.095988893,0.72896677,-0.500680908,0.641360302,-0.606143318,0.000260653
BLCAP,-0.071958519,0.760330076,-0.113793206,0.716160402,-0.370135225,0.021422953,-0.663926417,0.641567443,-0.044245911,0.846429502
RELT,0.197241291,0.624746205,-0.036721886,0.803778176,0.075597501,0.80339373,-0.832193966,0.641826622,-0.115131864,0.639280884
4921536K21RIK,-0.041835172,0.569869793,-0.101468312,0.160139261,0.05173157,0.795774376,-0.596028399,0.641905204,-0.016161464,0.889218193
PLEKHG3,0.127856819,0.262608266,-0.351861029,0.248547958,-0.102530345,0.858606262,-0.353630058,0.64199332,-0.276178885,0.669319631
WSB1,-0.034828178,0.642112762,0.022779882,0.959956771,-0.165594849,0.014173212,-0.375194756,0.64199332,-0.069694552,0.362098998
IKZF5,-0.230358778,0.192555422,-0.051788168,0.869219583,-0.268229404,0.041871605,-0.531867887,0.642366522,-0.084979606,0.58310931
USP14,0.101162335,0.490612494,0.119493211,0.242112623,0.063490147,0.745975562,0.516680612,0.642366522,0.377104739,0.000287375
SYT11,-0.096205968,0.548656082,0.569453075,0.002742965,0.136493042,0.565459155,-0.342052691,0.64242806,-0.009030085,0.963855703
GUCY1A3,0.026597541,0.87102814,0.004976147,0.982721682,0.045358336,0.859335547,-1.017924009,0.643331884,0.020065573,0.944125114
IGFALS,-0.064784106,0.241718281,0.014920912,0.9316934,-0.052517598,0.7866141,3.316661398,0.643338534,-0.025460427,0.802273032
ISYNA1,0.046065788,0.944448298,-0.026045595,0.937161348,-0.209650382,0.137945481,0.726312875,0.643338534,0.00383801,0.972075798
ANXA7,-0.326840495,0.29915493,0.415020788,0.003242157,-0.044970312,0.896898873,0.559517318,0.643473316,0.724947049,7.49E-06
KLRK1,-0.090164167,0.461556621,-0.050310816,0.627294303,-0.03287737,0.735744844,1.285632854,0.643480066,0.014499461,0.884734514
EFNB1,-0.199763425,0.024170837,-0.750426687,0.00012665,0.043667969,0.806367877,-0.772953173,0.643657727,-0.034939391,0.793500333
LRP1B,-0.021524365,0.749554878,-0.064082082,0.413422191,-0.013997877,0.891379291,-0.737498058,0.643657727,-0.014118537,0.862477334
GGCX,0.177674579,0.303003687,0.015055936,0.9316934,-0.10996304,0.285833125,-0.388284375,0.643676071,-0.099976033,0.326235161
NUPL2,0.133933222,0.737573321,-0.256606714,0.01737063,0.094321754,0.235863545,0.555837682,0.643676071,-0.005530037,0.963155928
POU6F2,0.003101005,0.95738174,-0.001099693,0.997066011,0.01344819,0.866394463,0.923303355,0.643676071,0.032537551,0.609739911
YPEL2,-0.012757077,0.768018079,-0.202753057,0.347727581,-0.000498816,0.996789075,0.696654842,0.644125176,-0.034842029,0.524260568
B3GALT5,0.074956381,0.79472889,0.012176063,0.963894681,0.010589564,0.981069646,-0.543804783,0.644272544,0.380610342,0.056957594
MMP19,0.078017988,0.782680575,-0.053984953,0.645305317,0.069027895,0.830078842,0.802133175,0.644272544,-0.350443953,0.31651421
ACOX1,0.038155839,0.769310454,-0.067545903,0.651325834,-0.06069364,0.726926063,-0.468257899,0.644463869,-0.243191718,0.053210634
B3GALNT1,0.050265945,0.886625967,-0.20293242,0.073811712,-0.01220405,0.960089328,0.565304621,0.644463869,-0.268055373,0.05404845
GTF2F1,-0.059583695,0.664755563,-0.052284309,0.642186732,0.124072048,0.520224426,0.572508425,0.644463869,0.395765173,0.003489895
NDUFB4,-0.147088509,0.384438478,0.026801268,0.901819168,0.091529835,0.671482172,0.636158417,0.644463869,-0.363670822,0.029788414
ANTXR1,0.049861623,0.80897303,0.044253884,0.672128251,-0.062643763,0.452489934,1.121911186,0.645390875,-0.0431872,0.71448666
NCOA5,-0.265156275,0.018365555,-0.165030177,0.1527906,-0.211321939,0.115015485,-0.60658123,0.645390875,0.461143078,4.64E-06
TAS2R140,0.062945851,0.145803436,-0.018349341,0.946253423,0.102308324,0.485917162,2.24845945,0.645581545,-0.078085767,0.28197734
GNG2,-0.161124136,0.000140496,-0.399008368,0.000183673,-0.177171101,0.017993588,0.549754124,0.646142073,-0.504005869,0.000162003
LEPRE1,-0.041034005,0.762286251,0.089463572,0.767574638,-0.118307998,0.658431673,0.877089197,0.646142073,-0.052602726,0.636850731
PDZRN3,0.006582872,0.952543657,-0.288342321,0.374530413,-0.005457931,0.972740026,1.030125494,0.646142073,-0.008760958,0.947235496
HRH4,0.00407613,0.945553628,0.093459273,0.696360529,0.00522114,0.962212427,2.34037278,0.646200919,0.05959662,0.450857058
PRKG1,0.048944285,0.392827957,0.729369495,2.19E-06,-0.051349921,0.586398299,0.454736591,0.646564275,-0.057036644,0.604049351
0610037L13RIK,-0.523377787,0.011274746,-0.138724843,0.426773814,-0.073848582,0.787311207,-0.505006741,0.646672772,0.335675412,0.131345782
CAPN8,0.052704597,0.753036309,-0.04746892,0.754437223,-0.058224428,0.595507045,2.127807511,0.64738373,-0.127672539,0.210690573
LST1,-0.260541255,0.084950411,-1.313079545,2.51E-07,-0.134830745,0.685065086,-0.756925942,0.64738373,-0.854659208,4.15E-06
TMEM63A,-0.055775628,0.691280405,-0.616942701,1.14E-05,-0.080632919,0.480208631,-0.420297195,0.647394933,0.421823298,0.000567838
DAPK1,-0.384766383,0.028295803,0.037787239,0.797858324,0.034208295,0.908822802,0.563403712,0.647618982,-0.079215785,0.326588266
LRCH1,-0.139222252,0.460032259,-0.109279211,0.440185612,-0.219445762,0.012287349,-0.430607641,0.647618982,-0.509818807,0.002503997
RARB,0.007167429,0.95738174,0.046975328,0.698472121,-0.060322257,0.817832122,1.164112355,0.647618982,0.064630459,0.499988352
TRIM21,0.12449802,0.099254836,-0.214043573,0.084645549,0.096120617,0.420251219,-0.474347525,0.647618982,-0.369250528,0.002764518
DIS3,-0.089375137,0.588691838,-0.047576404,0.665787749,0.027367612,0.938146313,-0.542811275,0.647929975,0.930452695,8.36E-08
RPS6KA5,0.000199949,0.998735817,-0.130031973,0.374471303,-0.07909907,0.80339373,-0.542727562,0.648130775,-0.105278066,0.490100765
CAPZB,-0.232832265,0.213811298,-0.079194503,0.377309233,-0.029226888,0.899760411,0.482830301,0.648155098,-0.403259857,0.025903922
FTSJ1,-0.083656064,0.115335374,-0.101598108,0.27797763,-0.061861425,0.793616988,-0.388703534,0.648484061,0.019443581,0.791282683
OSGEP,-0.334637558,0.032752488,-0.08480059,0.317747388,-0.166927814,0.049934784,-0.590230121,0.648582339,-0.557554936,2.04E-05
CHST3,0.048603244,0.7173028,2.532679101,1.62E-07,-0.057709367,0.664761175,0.420572373,0.648700667,0.034652921,0.678841758
9430015G10RIK,-0.282224719,0.095056264,-0.085722307,0.546837423,-0.202374124,0.392428955,0.606224872,0.649075807,-0.483022833,5.95E-05
ZFP157,-0.010721639,0.912060366,-0.064386252,0.737400222,-0.013071496,0.94606848,-0.463404511,0.649075807,-0.065409741,0.520165585
HIST1H2BC,-0.444501268,0.058826366,0.299764397,0.207739175,0.211926981,0.466229588,0.79946796,0.649321635,-0.900615431,0.002391212
3110035E14RIK,-0.002859885,0.953541129,-0.19540549,0.081377213,-0.041035976,0.809093419,0.885457415,0.649794921,-0.340072575,0.054328135
FBXO16,0.025425225,0.679197583,-0.015812297,0.980746332,-0.036069616,0.85170869,-1.745225001,0.649794921,0.095510993,0.130921695
KLHL6,0.097079008,0.737573321,0.624217899,0.000277577,-0.032393454,0.90156849,0.486212857,0.649794921,-1.177068175,8.69E-09
LRRC39,-0.060806753,0.855708918,0.180457815,0.268168174,-0.116866547,0.712688691,0.559323327,0.649794921,-0.081423819,0.842177713
MSRA,0.011191766,0.940880931,0.334686657,0.016734478,0.00153332,0.993289495,-0.744564691,0.649794921,0.005447859,0.958380664
MTFR1,-0.21278651,0.056092407,0.045283652,0.783254715,-0.041026822,0.499303207,0.520411596,0.649794921,-0.016285635,0.930669006
PHF19,-0.051084737,0.716521892,0.037119261,0.811441924,0.110788758,0.354078195,1.256259196,0.649794921,-0.008948522,0.949846038
SACM1L,-0.032184761,0.782680575,0.221554407,0.402680749,-0.153515299,0.100048086,0.505256062,0.649794921,-0.170270534,0.097431356
SCAMP3,0.129404452,0.509568289,-0.140929811,0.152904701,0.174226782,0.214435247,-1.155990798,0.649794921,-0.061500717,0.755371116
SHFM1,0.057461943,0.837427378,0.007533826,0.971663293,0.181822146,0.136115283,0.64083037,0.649794921,0.0822864,0.681989074
TJP2,0.031027902,0.911987424,0.201778679,0.053980384,0.051150895,0.831336723,0.570552135,0.649794921,-0.140449736,0.604754399
TTYH1,0.167504629,0.570827754,-0.085338507,0.673064243,-0.254892445,0.315519255,-0.394136366,0.649794921,-0.356819231,0.028078941
ZFP458,0.043173147,0.439619712,-0.137076701,0.402314091,0.022656982,0.83966363,-0.712117986,0.649794921,-0.042141929,0.756945431
ZMYM6,-0.142468398,0.098024311,-0.122915395,0.697954649,-0.055806459,0.849205405,-0.531999298,0.649794921,-0.148587377,0.073961174
LIG1,0.185743706,0.165006256,0.245292817,0.011125602,0.145091942,0.442102172,0.494758179,0.650163315,-0.1543056,0.355460916
ASZ1,0.015858944,0.957598943,-0.016506523,0.896592778,0.125075057,0.64133804,-2.152822288,0.650183572,0.036474165,0.793500333
VAMP4,-0.154642791,0.042209264,0.010536443,0.95098559,-0.123425104,0.390908857,0.507952102,0.650183572,0.18585754,0.283276654
TRP53RK,-0.099296382,0.519275724,-0.060157122,0.493445782,-0.109823291,0.665848866,0.577431628,0.650624891,0.539038537,0.002204841
MOGAT2,0.019949995,0.772776392,-0.444451405,0.593248084,-0.014724798,0.922729281,-2.622099197,0.650732448,0.129023768,0.093126536
ODF2L,-0.000340729,0.9974163,-0.051218252,0.787050295,-0.033681957,0.850030175,0.625202423,0.651167505,-0.001592962,0.991753116
OLFR598,0.011563186,0.931051628,-0.02920978,0.813216371,0.022092751,0.919295077,1.532062895,0.651167505,0.008809067,0.918859147
SLAIN1,0.004283495,0.94280293,0.124605254,0.362883093,-0.036937588,0.786277231,-0.805405553,0.651228932,-0.041592793,0.558711487
ATXN7L1,-0.021499256,0.808379176,0.059730068,0.702081518,-0.02407617,0.794537991,-0.426601237,0.651328978,0.092473916,0.328571927
BBX,0.025827048,0.782680575,0.417116231,0.038975088,0.154353526,0.541233849,0.365958097,0.651328978,0.56297529,0.005080986
C1QTNF4,-0.0266354,0.433284671,-0.182994231,0.349490162,-0.019738602,0.820010419,2.376292535,0.651328978,0.002016289,0.980232372
CHCHD2,0.017941697,0.807110552,0.033331229,0.848045548,0.005333661,0.960711581,0.572503669,0.651328978,-0.005787207,0.946689903
DSN1,0.052110099,0.529698498,0.192659248,0.352267568,-0.033782163,0.876319295,0.754453635,0.651328978,-0.040555757,0.549381839
KCNA3,-0.052425875,0.513760441,0.351170608,0.027064965,-0.022463543,0.848674761,0.621045933,0.651328978,0.014845146,0.904683509
PAFAH1B2,-0.08537903,0.640981489,-0.12395112,0.61892873,-0.212374559,0.019617723,0.384044388,0.651328978,0.133213309,0.109431372
PRR3,-0.133420609,0.316977035,-0.047400841,0.783698554,-0.034202476,0.897063067,-0.468862523,0.651328978,0.067025054,0.766371543
RDH14,-0.103227266,0.289483552,-0.27402845,0.022929973,-0.131800218,0.300564087,-0.614619456,0.651328978,-0.078333366,0.41050908
SLC25A19,0.086936052,0.78785434,0.082585059,0.758356359,-0.169762321,0.399426807,0.620378725,0.651328978,0.081656416,0.602503903
SPACA3,-0.024148403,0.722607078,-0.060248066,0.446508025,-0.092722456,0.480323548,-2.108495649,0.651328978,-0.088920931,0.641731886
TGFBR3,0.222884951,0.39898158,0.069098053,0.384980468,-0.02914222,0.913890621,1.485630232,0.651328978,-0.204816787,0.424130123
ZFP536,0.022216155,0.89062742,0.191369718,0.04287047,0.095512256,0.652999474,0.595679174,0.651365416,-0.014824084,0.881993705
IL7R,-0.58116183,0.006962593,-0.663185655,0.001796223,-0.034413933,0.941693761,-0.434054493,0.651529723,-0.535948929,0.017459728
QPCTL,0.001673851,0.979636963,0.608588562,9.45E-06,0.04169006,0.597724097,0.686482964,0.652091864,-0.062912884,0.409419781
TMEM184A,0.029625269,0.814734396,-0.408866644,0.006628137,-0.006203583,0.972740026,-1.702030667,0.652143444,0.004948098,0.968696918
ZFP36,0.15438283,0.6092977,-0.173846247,0.320959924,0.2097851,0.507921033,-0.422083071,0.652853231,1.369741127,0.000702477
CYP4A31,0.017448834,0.723709738,0.051606456,0.910564223,-0.026914491,0.804728045,-0.317447607,0.653070454,-0.020561067,0.800338252
GTF2I,-0.043622373,0.898352405,-0.491292147,0.001992461,-0.239314521,0.151172064,-0.43067524,0.653070454,-0.457073661,0.003277031
2010107G12RIK,0.015991557,0.952705459,0.043418109,0.679487344,-0.117574069,0.666348799,1.040223042,0.653773925,-0.239846794,0.227887098
SLC35B1,0.12747688,0.271865119,0.126052226,0.349726709,-0.012524359,0.970084558,0.568402679,0.653817476,0.370004867,0.057420375
LSM2,-0.12234441,0.153069591,0.173943535,0.211167437,0.001796394,0.996610564,0.835782046,0.653917743,0.611382914,0.001189347
ATP6V0A1,-0.151569605,0.667874944,0.051125307,0.725170286,0.086238454,0.716547912,0.467104983,0.654062995,1.766135038,1.13E-08
SNAPC1,0.092232422,0.655963798,0.477788041,0.004319354,-0.100612645,0.63856971,0.553548847,0.654286962,0.357534453,0.007257404
MIA3,0.009964159,0.880071432,-0.001220942,0.997682564,-0.135478884,0.549055839,0.380164141,0.654630862,0.135244381,0.359269782
SLC27A1,-0.120658,0.230506214,0.224459435,0.098771125,0.212758212,0.225280554,-0.416925981,0.654630862,-0.227787255,0.164160866
1700001C19RIK,-0.109712854,0.319266213,-0.18278662,0.129956609,0.042118449,0.645502173,0.859704861,0.654767475,-0.030029864,0.719815703
CCL9,-0.220895683,0.038740473,-0.537662655,0.009117188,0.187810817,0.546973742,-0.388664813,0.654767475,1.415692854,1.44E-07
GATA4,-0.008328254,0.952166442,-0.023846764,0.942059603,0.035979103,0.888937726,1.142963346,0.654767475,-0.015175997,0.9633764
GGN,-0.035240766,0.421103297,0.003217822,0.993846805,0.010606817,0.936719645,1.326336908,0.654767475,0.039901151,0.500638011
IFNAB,-0.005393847,0.93519371,0.054749079,0.879748312,0.018148786,0.861003703,2.826563219,0.654767475,0.031218297,0.714045393
KRTAP5-5,0.116601475,0.604475883,0.031976275,0.930960566,0.035334912,0.918409145,-1.728744857,0.654767475,-0.020604448,0.937223052
MRRF,-0.099019991,0.050284878,0.11375755,0.232588557,-0.027579509,0.915438167,0.851421562,0.654767475,0.29623196,0.049244747
NAPRT1,-0.091864778,0.52814624,0.219743824,0.199494697,0.321583849,0.040129782,-0.966484316,0.654767475,0.295713396,0.210960611
OLFR412,0.048683644,0.648643351,0.046766532,0.567637811,-0.087052117,0.580078977,-1.394852014,0.654767475,0.106768287,0.36032896
OLFR930,-0.004043028,0.950310636,-0.008167563,0.960670867,-0.013275781,0.864242848,1.677688798,0.654767475,-0.004793702,0.972680322
PTP4A2,-0.104339861,0.115335374,-0.342107574,0.002760463,-0.031419035,0.845219405,0.369518487,0.654767475,-0.567944315,2.01E-06
RBM4,-0.108473369,0.410310122,-0.287041184,0.011324341,-0.048245439,0.820189766,-0.499700872,0.654767475,0.025793761,0.909217375
SYAP1,0.006492863,0.972170095,0.100038867,0.339744976,0.046364896,0.848674761,0.574764881,0.654767475,0.211082491,0.280735825
TMEM19,-0.027884942,0.937199952,-0.245376872,0.018727337,0.057365766,0.810234954,0.571039909,0.654767475,-0.33071138,0.227887098
TSC22D4,-0.048583124,0.66474795,-0.349657971,0.004546657,-0.004113124,0.979666793,0.550092039,0.654767475,0.23493317,0.00198643
VRK2,-0.096921963,0.44569036,-0.358350288,0.006546803,-0.483925161,0.060783313,-0.51167427,0.654767475,-0.029953233,0.915540761
WARS,0.039479054,0.872801244,-0.15697297,0.319967977,-0.04647467,0.895612887,0.602117482,0.654767475,0.012795224,0.972581933
YPEL5,-0.111585455,0.625002337,-0.031488098,0.877621292,0.004328735,0.993705614,-0.421374565,0.654767475,-0.088674917,0.769226341
GLOD4,-0.460236394,0.012047664,-0.121558875,0.200614564,0.1640482,0.334647425,0.466943322,0.654808033,-0.116312962,0.624593655
PSMD2,0.205797013,0.283230896,-0.022871513,0.908435156,-0.015428889,0.960194661,0.480490417,0.654808033,0.203716319,0.266519051
SKIL,0.066509146,0.324751795,0.36012979,0.33168696,0.074361785,0.804728045,-0.357628054,0.654808033,1.032259782,1.87E-10
SMG6,-0.064306429,0.46415004,-0.024026794,0.867078215,-0.137698979,0.351566747,-0.455441224,0.654808033,-0.215427833,0.181594053
NUBP1,0.14423379,0.652660359,0.161576427,0.177168328,0.173157633,0.415284481,0.904060179,0.655055588,0.35449083,0.129888685
BIRC3,0.193017703,0.067795697,0.191183462,0.515608084,0.326470776,0.163058918,0.508197263,0.655698685,2.558008956,2.20E-09
ISY1,0.015631455,0.953290468,0.093437784,0.502913875,0.072577394,0.706779877,0.505698743,0.655698685,0.07803143,0.585019222
METRNL,0.032664974,0.876229425,0.511803374,0.020812912,0.111720427,0.562301685,0.791726345,0.655698685,0.174488418,0.115602129
RS1,0.003452567,0.954040935,-0.358745946,0.506872187,-0.005324405,0.972740026,0.686700369,0.655698685,0.057345973,0.429345875
SCD1,0.309655313,0.291271717,-0.167210376,0.058355869,0.021106323,0.806367877,0.610460486,0.655698685,-0.035148161,0.656072434
DCLK2,-0.39619062,0.004764682,0.049917886,0.704548085,0.05778682,0.549055839,-0.746092213,0.655779141,0.013117075,0.88865993
OLFR492,0.004206595,0.947502542,-0.034224762,0.771579891,-0.005752165,0.950991939,1.142709782,0.65594804,0.079505036,0.553356669
EXT2,-0.143135804,0.154888781,0.008840838,0.960042832,0.151121612,0.293731414,0.525002194,0.655952015,-0.044006612,0.871851515
MRPL51,-0.189793142,0.142484224,0.160966209,0.223246729,0.029727963,0.937429145,0.503020982,0.655952015,-0.260250428,0.155586158
ALOX5,0.076184105,0.489392366,-0.174268977,0.449622256,-0.000201755,0.998876322,-0.543560889,0.655997037,0.040152214,0.568649447
ATAD2,0.077607895,0.298547598,0.045006707,0.845348908,0.63269211,0.00051441,-0.347132862,0.655997037,-0.659619718,0.000148646
NIT1,-0.363112204,2.37E-05,-0.230340383,0.108183099,-0.16627038,0.093434464,-0.686920684,0.655997037,-0.08196888,0.581833396
RNF215,-0.069597272,0.663733135,-0.361343962,9.32E-05,-0.021504808,0.926562997,-0.714729197,0.655997037,0.071624448,0.490493075
TINF2,-0.06878389,0.699554342,-0.077696953,0.516486427,0.005625254,0.966195365,-0.619153598,0.655997037,0.249663632,0.004039527
CCT7,0.019064499,0.876713873,-0.024146283,0.909794111,0.065794764,0.850704272,0.526377595,0.656070862,0.368425298,0.063657789
ZBTB40,-0.04745006,0.221376004,-0.322704835,0.012012245,-0.035788457,0.692493132,-0.571070118,0.656070862,0.055218347,0.241608245
CD200R1,-0.049501112,0.791879151,-0.13548344,0.547440054,0.056562155,0.61926098,0.637661219,0.656358487,-0.264437617,0.034415713
FADD,-0.016211478,0.954346505,-0.005763059,0.985596648,-0.187178661,0.588490825,-0.401883136,0.657089353,-0.357866805,0.026988049
AUH,-0.134311341,0.31104716,0.186675857,0.063608171,0.063452386,0.793930297,-0.466893898,0.657137747,-0.101816433,0.506742968
RPTN,0.080484837,0.575461789,-0.047152332,0.716451022,0.020993422,0.906595753,2.283386461,0.657137747,-0.079863138,0.488270854
APH1B,0.04724033,0.557711204,-0.040106964,0.828645292,-0.114309622,0.461900206,0.681040943,0.657222126,0.012033623,0.930975776
D17WSU104E,-0.349764087,0.022203981,0.289925064,0.001750518,0.117791421,0.652444871,0.711223673,0.657222126,0.212200181,0.217027802
FDX1,0.011126126,0.870008879,0.23032856,0.016016392,0.259604801,0.085867282,-0.619406611,0.657222126,-0.031300976,0.908852332
NXT1,0.041502544,0.847418062,-0.037457366,0.76888474,0.023045248,0.947302814,-1.006460387,0.657222126,0.119720512,0.131953565
