ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,
GO:0070371,ERK1 and ERK2 cascade,Aug-60,281/15833,1.02E-05,0.000485361,0.000336185,Apoe/Ccl3/Ccl4/Atf3/Cd74/Dusp1/Tlr2/Il1b,8,
GO:1905954,positive regulation of lipid localization,May-60,77/15833,1.06E-05,0.000485361,0.000336185,Apoe/Spp1/Nfkbia/Lpl/Il1b,5,
GO:2001057,reactive nitrogen species metabolic process,May-60,77/15833,1.06E-05,0.000485361,0.000336185,Tlr2/Cx3cr1/Il1b/Klf2/Hsp90aa1,5,
GO:0002687,positive regulation of leukocyte migration,Jun-60,133/15833,1.08E-05,0.000486798,0.00033718,Ccl4/Cd74/Tlr2/P2ry12/Il1b/Cxcl10,6,
GO:0032611,interleukin-1 beta production,May-60,78/15833,1.13E-05,0.000496,0.000343554,Ccl3/Lpl/Tlr2/Cx3cr1/Il1b,5,
GO:0002718,regulation of cytokine production involved in immune response,May-60,79/15833,1.20E-05,0.000517424,0.000358393,Cd74/Tlr2/Vsir/Il1b/Hmox1,5,
GO:0009896,positive regulation of catabolic process,Sep-60,400/15833,1.81E-05,0.000766612,0.000530993,Apoe/Btg2/Ier3/Zfp36/Tlr2/Vsir/Il1b/Hmox1/Hsp90aa1,9,
GO:0045429,positive regulation of nitric oxide biosynthetic process,Apr-60,42/15833,1.87E-05,0.000777134,0.000538281,Tlr2/Il1b/Klf2/Hsp90aa1,4,
GO:0045582,positive regulation of T cell differentiation,May-60,88/15833,2.03E-05,0.000822776,0.000569895,Cd74/Cd83/Vsir/Il1b/Hsp90aa1,5,
GO:1904407,positive regulation of nitric oxide metabolic process,Apr-60,43/15833,2.06E-05,0.000822776,0.000569895,Tlr2/Il1b/Klf2/Hsp90aa1,4,
GO:0038066,p38MAPK cascade,Apr-60,44/15833,2.26E-05,0.000866311,0.00060005,Dusp1/Gadd45b/Zfp36/Il1b,4,
GO:0042136,neurotransmitter biosynthetic process,May-60,90/15833,2.26E-05,0.000866311,0.00060005,Tlr2/Cx3cr1/Il1b/Klf2/Hsp90aa1,5,
GO:0071396,cellular response to lipid,Sep-60,412/15833,2.29E-05,0.000866311,0.00060005,Spp1/Cxcl2/Nfkbia/Lpl/Axl/Zfp36/Cx3cr1/Il1b/Cxcl10,9,
GO:0002548,monocyte chemotaxis,Apr-60,45/15833,2.47E-05,0.000919631,0.000636982,Ccl3/Ccl4/Dusp1/Cxcl10,4,
GO:0061900,glial cell activation,Apr-60,46/15833,2.70E-05,0.000987349,0.000683886,Cst7/Tlr2/Cx3cr1/Il1b,4,
GO:0032612,interleukin-1 production,May-60,94/15833,2.80E-05,0.000989098,0.000685098,Ccl3/Lpl/Tlr2/Cx3cr1/Il1b,5,
GO:1903426,regulation of reactive oxygen species biosynthetic process,May-60,94/15833,2.80E-05,0.000989098,0.000685098,Tlr2/Cx3cr1/Il1b/Klf2/Hsp90aa1,5,
GO:0002683,negative regulation of immune system process,Sep-60,429/15833,3.14E-05,0.00107674,0.000745803,Cd74/Dusp1/Nfkbia/Cst7/Axl/Zfp36/Vsir/Id2/Hmox1,9,
GO:0072503,cellular divalent inorganic cation homeostasis,Sep-60,429/15833,3.14E-05,0.00107674,0.000745803,Apoe/Ccl3/Cxcl2/Ccrl2/Cd52/Mt1/Cx3cr1/Il1b/Cxcl10,9,
GO:0043618,regulation of transcription from RNA polymerase II promoter in response to stress,Apr-60,48/15833,3.20E-05,0.00107921,0.000747514,Atf3/Ppp1r15a/Klf2/Hmox1,4,
GO:0002367,cytokine production involved in immune response,May-60,98/15833,3.42E-05,0.001135196,0.000786292,Cd74/Tlr2/Vsir/Il1b/Hmox1,5,
GO:0002695,negative regulation of leukocyte activation,Jun-60,165/15833,3.68E-05,0.00120208,0.00083262,Cd74/Cst7/Axl/Vsir/Id2/Hmox1,6,
GO:0070098,chemokine-mediated signaling pathway,Apr-60,50/15833,3.77E-05,0.001206943,0.000835988,Ccl3/Ccl4/Cxcl2/Cxcl10,4,
GO:0043524,negative regulation of neuron apoptotic process,Jun-60,166/15833,3.80E-05,0.001206943,0.000835988,Apoe/Btg2/Mt1/Axl/Cx3cr1/Hmox1,6,
GO:0002688,regulation of leukocyte chemotaxis,May-60,103/15833,4.34E-05,0.001358722,0.000941117,Ccl4/Cd74/Dusp1/Il1b/Cxcl10,5,
GO:0072507,divalent inorganic cation homeostasis,Sep-60,450/15833,4.56E-05,0.001406384,0.00097413,Apoe/Ccl3/Cxcl2/Ccrl2/Cd52/Mt1/Cx3cr1/Il1b/Cxcl10,9,
GO:0043620,regulation of DNA-templated transcription in response to stress,Apr-60,53/15833,4.75E-05,0.001439111,0.000996799,Atf3/Ppp1r15a/Klf2/Hmox1,4,
GO:0071276,cellular response to cadmium ion,Mar-60,19/15833,4.80E-05,0.001439111,0.000996799,Fos/Mt1/Hmox1,3,
GO:1903428,positive regulation of reactive oxygen species biosynthetic process,Apr-60,55/15833,5.50E-05,0.001625925,0.001126195,Tlr2/Il1b/Klf2/Hsp90aa1,4,
GO:1903409,reactive oxygen species biosynthetic process,May-60,109/15833,5.70E-05,0.001661694,0.001150971,Tlr2/Cx3cr1/Il1b/Klf2/Hsp90aa1,5,
GO:0150076,neuroinflammatory response,Apr-60,56/15833,5.91E-05,0.001699496,0.001177154,Cst7/Tlr2/Cx3cr1/Il1b,4,
GO:0032370,positive regulation of lipid transport,Apr-60,58/15833,6.78E-05,0.001901389,0.001316995,Apoe/Spp1/Nfkbia/Il1b,4,
GO:0032722,positive regulation of chemokine production,Apr-60,58/15833,6.78E-05,0.001901389,0.001316995,Cd74/Lpl/Tlr2/Il1b,4,
GO:0070374,positive regulation of ERK1 and ERK2 cascade,Jun-60,185/15833,6.96E-05,0.001925187,0.001333479,Apoe/Ccl3/Ccl4/Cd74/Tlr2/Il1b,6,
GO:2000377,regulation of reactive oxygen species metabolic process,Jun-60,186/15833,7.17E-05,0.001957648,0.001355963,Ier3/Tlr2/Cx3cr1/Il1b/Klf2/Hsp90aa1,6,
GO:0002763,positive regulation of myeloid leukocyte differentiation,Apr-60,59/15833,7.26E-05,0.001957648,0.001355963,Ccl3/Cd74/Fos/Id2,4,
GO:0007204,positive regulation of cytosolic calcium ion concentration,Jul-60,279/15833,8.51E-05,0.002241427,0.001552523,Ccl3/Cxcl2/Ccrl2/Cd52/Cx3cr1/Il1b/Cxcl10,7,
GO:0002694,regulation of leukocyte activation,Sep-60,488/15833,8.52E-05,0.002241427,0.001552523,Cd74/Cd83/Cst7/Axl/Vsir/Il1b/Id2/Hmox1/Hsp90aa1,9,
GO:0050920,regulation of chemotaxis,Jun-60,194/15833,9.05E-05,0.002352389,0.00162938,Ccl4/Cd74/Dusp1/P2ry12/Il1b/Cxcl10,6,
GO:0019915,lipid storage,Apr-60,63/15833,9.39E-05,0.002412744,0.001671185,Apoe/Nfkbia/Lpl/Il1b,4,
GO:1905952,regulation of lipid localization,May-60,123/15833,0.000101207,0.002521137,0.001746263,Apoe/Spp1/Nfkbia/Lpl/Il1b,5,
GO:0045637,regulation of myeloid cell differentiation,Jun-60,198/15833,0.000101235,0.002521137,0.001746263,Ccl3/Cd74/Nfkbia/Fos/Zfp36/Id2,6,
GO:0045785,positive regulation of cell adhesion,Aug-60,388/15833,0.00010164,0.002521137,0.001746263,Spp1/Cd74/Cd83/Cd63/Vsir/P2ry12/Il1b/Hsp90aa1,8,
GO:0006690,icosanoid metabolic process,Apr-60,65/15833,0.000106145,0.00259404,0.00179676,Cd74/Tlr2/Ltc4s/Il1b,4,
GO:0002573,myeloid leukocyte differentiation,Jun-60,200/15833,0.000106983,0.00259404,0.00179676,Ccl3/Cd74/Fos/Junb/Tlr2/Id2,6,
GO:0051235,maintenance of location,Jul-60,291/15833,0.000110624,0.002652511,0.00183726,Apoe/Fth1/Nfkbia/Lpl/Ftl1/Il1b/Cxcl10,7,
GO:0007159,leukocyte cell-cell adhesion,Jul-60,293/15833,0.000115434,0.002737446,0.00189609,Cd74/Cd83/Cx3cr1/Vsir/Selplg/Il1b/Hsp90aa1,7,
GO:0032651,regulation of interleukin-1 beta production,Apr-60,67/15833,0.000119491,0.00280284,0.001941384,Ccl3/Lpl/Tlr2/Cx3cr1,4,
GO:0042133,neurotransmitter metabolic process,May-60,128/15833,0.000122146,0.002834302,0.001963177,Tlr2/Cx3cr1/Il1b/Klf2/Hsp90aa1,5,
GO:0050729,positive regulation of inflammatory response,May-60,129/15833,0.000126704,0.002908807,0.002014783,Ccl3/Nfkbia/Lpl/Tlr2/Il1b,5,
GO:0050921,positive regulation of chemotaxis,May-60,130/15833,0.000131392,0.002984684,0.002067338,Ccl4/Cd74/P2ry12/Il1b/Cxcl10,5,
GO:0031667,response to nutrient levels,Jul-60,300/15833,0.000133633,0.003003967,0.002080695,Apoe/Spp1/Atf3/Lpl/Zfp36/P2ry12/Il1b,7,
GO:0002703,regulation of leukocyte mediated immunity,Jun-60,210/15833,0.000139745,0.003094367,0.002143311,H2-D1/H2-K1/Tlr2/Vsir/Il1b/Hmox1,6,
GO:0071674,mononuclear cell migration,Apr-60,70/15833,0.000141735,0.003094367,0.002143311,Ccl3/Ccl4/Dusp1/Cxcl10,4,
GO:0006874,cellular calcium ion homeostasis,Aug-60,408/15833,0.000143776,0.003094367,0.002143311,Apoe/Ccl3/Cxcl2/Ccrl2/Cd52/Cx3cr1/Il1b/Cxcl10,8,
GO:0002700,regulation of production of molecular mediator of immune response,May-60,133/15833,0.000146258,0.003094367,0.002143311,Cd74/Tlr2/Vsir/Il1b/Hmox1,5,
GO:0034101,erythrocyte homeostasis,May-60,133/15833,0.000146258,0.003094367,0.002143311,Axl/Zfp36/Id2/Klf2/Hmox1,5,
GO:0050728,negative regulation of inflammatory response,May-60,133/15833,0.000146258,0.003094367,0.002143311,Apoe/Cst7/Ier3/Zfp36/Cx3cr1,5,
GO:0046686,response to cadmium ion,Mar-60,28/15833,0.000158436,0.003287543,0.002277114,Fos/Mt1/Hmox1,3,
GO:2000178,negative regulation of neural precursor cell proliferation,Mar-60,28/15833,0.000158436,0.003287543,0.002277114,Btg2/Il1b/Id2,3,
GO:0002699,positive regulation of immune effector process,Jun-60,218/15833,0.000171304,0.003520696,0.002438607,Cd74/H2-D1/H2-K1/Tlr2/Il1b/Hmox1,6,
GO:0050718,positive regulation of interleukin-1 beta secretion,Mar-60,29/15833,0.000176241,0.003588005,0.002485229,Ccl3/Lpl/Tlr2,3,
GO:0055074,calcium ion homeostasis,Aug-60,421/15833,0.000178229,0.00359456,0.002489769,Apoe/Ccl3/Cxcl2/Ccrl2/Cd52/Cx3cr1/Il1b/Cxcl10,8,
GO:0002709,regulation of T cell mediated immunity,Apr-60,75/15833,0.000185255,0.00370166,0.002563952,H2-D1/H2-K1/Vsir/Il1b,4,
GO:0042326,negative regulation of phosphorylation,Aug-60,425/15833,0.000190106,0.003729646,0.002583336,Apoe/Atf3/Dusp1/Gadd45b/Ier3/Ppp1r15a/Pmepa1/Il1b,8,
GO:0051480,regulation of cytosolic calcium ion concentration,Jul-60,318/15833,0.000191351,0.003729646,0.002583336,Ccl3/Cxcl2/Ccrl2/Cd52/Cx3cr1/Il1b/Cxcl10,7,
GO:0045580,regulation of T cell differentiation,May-60,141/15833,0.00019223,0.003729646,0.002583336,Cd74/Cd83/Vsir/Il1b/Hsp90aa1,5,
GO:1901215,negative regulation of neuron death,Jun-60,223/15833,0.000193728,0.003729646,0.002583336,Apoe/Btg2/Mt1/Axl/Cx3cr1/Hmox1,6,
GO:0061082,myeloid leukocyte cytokine production,Mar-60,30/15833,0.000195297,0.003729646,0.002583336,Cd74/Tlr2/Hmox1,3,
GO:0071248,cellular response to metal ion,May-60,142/15833,0.000198671,0.003760814,0.002604924,Fos/Junb/Mt1/Id2/Hmox1,5,
GO:0046916,cellular transition metal ion homeostasis,Apr-60,77/15833,0.000205101,0.003848769,0.002665846,Fth1/Ftl1/Mt1/Hmox1,4,
GO:0050716,positive regulation of interleukin-1 secretion,Mar-60,31/15833,0.000215639,0.004011635,0.002778656,Ccl3/Lpl/Tlr2,3,
GO:0051348,negative regulation of transferase activity,Jun-60,230/15833,0.000228956,0.004222975,0.00292504,Apoe/Dusp1/Gadd45b/Rpl23/Zfp36/Il1b,6,
GO:0044403,symbiont process,Jul-60,328/15833,0.00023125,0.00422914,0.00292931,Apoe/Ccl4/Cd74/Ctsb/Axl/Zfp36/Tlr2,7,
GO:0002443,leukocyte mediated immunity,Jul-60,332/15833,0.000248982,0.004515146,0.003127412,Cd74/H2-D1/H2-K1/Tlr2/Vsir/Il1b/Hmox1,7,
GO:0002690,positive regulation of leukocyte chemotaxis,Apr-60,82/15833,0.000261375,0.004651863,0.003222109,Ccl4/Cd74/Il1b/Cxcl10,4,
GO:0032652,regulation of interleukin-1 production,Apr-60,82/15833,0.000261375,0.004651863,0.003222109,Ccl3/Lpl/Tlr2/Cx3cr1,4,
GO:0031331,positive regulation of cellular catabolic process,Jul-60,335/15833,0.000262988,0.004651863,0.003222109,Apoe/Btg2/Zfp36/Tlr2/Il1b/Hmox1/Hsp90aa1,7,
GO:0032642,regulation of chemokine production,Apr-60,83/15833,0.000273836,0.004765637,0.003300914,Cd74/Lpl/Tlr2/Il1b,4,
GO:1901568,fatty acid derivative metabolic process,Apr-60,83/15833,0.000273836,0.004765637,0.003300914,Cd74/Tlr2/Ltc4s/Il1b,4,
GO:0044419,interspecies interaction between organisms,Jul-60,342/15833,0.000298151,0.005138627,0.003559266,Apoe/Ccl4/Cd74/Ctsb/Axl/Zfp36/Tlr2,7,
GO:0032602,chemokine production,Apr-60,85/15833,0.000300031,0.005138627,0.003559266,Cd74/Lpl/Tlr2/Il1b,4,
GO:0030098,lymphocyte differentiation,Jul-60,344/15833,0.000308864,0.005236849,0.003627299,Cd74/Cd83/Axl/Vsir/Il1b/Id2/Hsp90aa1,7,
GO:0046456,icosanoid biosynthetic process,Mar-60,35/15833,0.000310619,0.005236849,0.003627299,Cd74/Ltc4s/Il1b,3,
GO:0014015,positive regulation of gliogenesis,Apr-60,88/15833,0.000342629,0.005731727,0.003970076,Tlr2/P2ry12/Il1b/Id2,4,
GO:0072593,reactive oxygen species metabolic process,Jun-60,251/15833,0.000365759,0.006042009,0.004184992,Ier3/Tlr2/Cx3cr1/Il1b/Klf2/Hsp90aa1,6,
GO:1900744,regulation of p38MAPK cascade,Mar-60,37/15833,0.000366776,0.006042009,0.004184992,Dusp1/Gadd45b/Il1b,3,
GO:0007584,response to nutrient,Apr-60,90/15833,0.000373329,0.0060991,0.004224536,Spp1/Lpl/P2ry12/Il1b,4,
GO:0071241,cellular response to inorganic substance,May-60,163/15833,0.000376128,0.0060991,0.004224536,Fos/Junb/Mt1/Id2/Hmox1,5,
GO:0019932,second-messenger-mediated signaling,Jul-60,356/15833,0.00037984,0.0060991,0.004224536,Apoe/Ccl4/Ccrl2/Mt1/Cx3cr1/P2ry12/Cxcl10,7,
GO:0051251,positive regulation of lymphocyte activation,Jun-60,253/15833,0.000381547,0.0060991,0.004224536,Cd74/Cd83/Axl/Vsir/Il1b/Hsp90aa1,6,
GO:0032760,positive regulation of tumor necrosis factor production,Apr-60,91/15833,0.000389395,0.006178781,0.004279728,Ccl3/Ccl4/Lpl/Tlr2,4,
GO:0050706,regulation of interleukin-1 beta secretion,Mar-60,38/15833,0.000397144,0.006255737,0.004333031,Ccl3/Lpl/Tlr2,3,
GO:0045639,positive regulation of myeloid cell differentiation,Apr-60,92/15833,0.00040595,0.006257422,0.004334198,Ccl3/Cd74/Fos/Id2,4,
GO:0051897,positive regulation of protein kinase B signaling,Apr-60,92/15833,0.00040595,0.006257422,0.004334198,Axl/Cx3cr1/P2ry12/Hsp90aa1,4,
GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,Apr-60,92/15833,0.00040595,0.006257422,0.004334198,Ccl3/Ccl4/Lpl/Tlr2,4,
GO:0002262,myeloid cell homeostasis,May-60,166/15833,0.000408951,0.006258974,0.004335273,Axl/Zfp36/Id2/Klf2/Hmox1,5,
GO:0002697,regulation of immune effector process,Jul-60,361/15833,0.000413029,0.006276875,0.004347672,Cd74/H2-D1/H2-K1/Tlr2/Vsir/Il1b/Hmox1,7,
GO:0043491,protein kinase B signaling,May-60,167/15833,0.000420358,0.006343591,0.004393883,Axl/Cx3cr1/P2ry12/Il1b/Hsp90aa1,5,
GO:0001774,microglial cell activation,Mar-60,39/15833,0.000429082,0.006385931,0.004423209,Cst7/Tlr2/Cx3cr1,3,
GO:0002269,leukocyte activation involved in inflammatory response,Mar-60,39/15833,0.000429082,0.006385931,0.004423209,Cst7/Tlr2/Cx3cr1,3,
GO:0016032,viral process,Jun-60,259/15833,0.000432135,0.006387313,0.004424167,Apoe/Ccl4/Cd74/Ctsb/Axl/Zfp36,6,
GO:0032368,regulation of lipid transport,Apr-60,96/15833,0.000477225,0.007005794,0.004852557,Apoe/Spp1/Nfkbia/Il1b,4,
GO:0001649,osteoblast differentiation,May-60,173/15833,0.000493938,0.007202152,0.004988564,Spp1/Junb/H3f3b/Tmem119/Id2,5,
GO:0002819,regulation of adaptive immune response,May-60,174/15833,0.000507088,0.0072953,0.005053084,Cd74/H2-D1/H2-K1/Vsir/Il1b,5,
GO:0050870,positive regulation of T cell activation,May-60,174/15833,0.000507088,0.0072953,0.005053084,Cd74/Cd83/Vsir/Il1b/Hsp90aa1,5,
GO:0042035,regulation of cytokine biosynthetic process,Apr-60,98/15833,0.000516018,0.007374609,0.005108016,Zfp36/Tlr2/Cx3cr1/Il1b,4,
GO:0032731,positive regulation of interleukin-1 beta production,Mar-60,42/15833,0.00053466,0.007563335,0.005238737,Ccl3/Lpl/Tlr2,3,
GO:2000379,positive regulation of reactive oxygen species metabolic process,Apr-60,99/15833,0.000536233,0.007563335,0.005238737,Tlr2/Il1b/Klf2/Hsp90aa1,4,
GO:0006879,cellular iron ion homeostasis,Mar-60,43/15833,0.000573216,0.008032465,0.00556368,Fth1/Ftl1/Hmox1,3,
GO:0001933,negative regulation of protein phosphorylation,Jul-60,383/15833,0.000587786,0.008183493,0.00566829,Apoe/Atf3/Dusp1/Gadd45b/Ppp1r15a/Pmepa1/Il1b,7,
GO:0007249,I-kappaB kinase/NF-kappaB signaling,May-60,180/15833,0.000591608,0.008183914,0.005668581,Cd74/Nfkbia/Tlr2/Cx3cr1/Il1b,5,
GO:0009895,negative regulation of catabolic process,Jun-60,276/15833,0.000604355,0.008306991,0.00575383,Ier3/Rpl23/Zfp36/Cst3/Il1b/Hmox1,6,
GO:0050704,regulation of interleukin-1 secretion,Mar-60,44/15833,0.000613506,0.008379404,0.005803987,Ccl3/Lpl/Tlr2,3,
