gene	Arf1_WT.signed.value	MS.signed.value
Csf1r	-30.737124830797	-2.46933343060656
Csf3r	-0.87218604758474	-16.705639733796
Cst3	-140.031958727091	-8.8116899554892
Ctnna2	0.00166442126649192	3.10439341174977
Ctsd	0.134290398506501	-10.7234184932885
Ctsf	-0.0261225158718593	-3.88506264022328
Ctsl	18.8437907142697	-2.04738930088426
Ctss	5.2122752309503	-0.211787228626293
Cttnbp2nl	-6.77007022691434	-3.68041966815487
Cx3cr1	-37.2003881700183	-6.1595784668154
Cxcl16	0.245889226383771	7.97163586390895
Cxxc5	-2.02998048653129	-6.00169964685884
Dip2a	-0.0121742013207607	9.68632892080686
Dst	-0.527589755933688	-0.0258207321044956
Ebf3	-0.117332054403001	3.94000453550591
Egr1	-31.6450638458697	-4.90741017146021
Egr2	-0.185266600469841	0.0351896192172007
Eng	-3.77313525665733	-6.36249056021295
Entpd1	-0.925546287150155	0.396224388625994
Eps15l1	-0.0374854770689686	0.536867121168873
Erlin2	-0.0314202270346206	0.638312293270973
Errfi1	-0.378978243427081	4.81451560724478
Etv5	-0.201129290285483	-1.18088297337507
Exoc5	-0.155332915156338	-4.00817342951794
Extl3	-0.0116367090646039	-0.013966546736437
F11r	-7.34519702209942	-6.90388160723557
Fads1	-0.134459079620565	7.2704494581881
Fcgr1	-0.705850957556357	-1.54261350948275
Fcgrt	-0.272449577766402	0.0218493807040988
Fcrls	-159.316130176753	-9.53069458104912
Fgd2	-5.08586156382223	-4.65692751374058
Fgfr1	-0.00322730810055095	-0.293433048326344
Flot2	2.27618986048276e-05	4.04165488342974
Fos	0.0315025741599756	-7.98145638539681
Frmd4a	-6.51779060413508	-0.0165045426347221
Frmd4b	-2.91325306735205	-0.0359590242154553
Fscn1	-22.7204241712365	-9.39090899312647
Gab1	-0.450228466836174	-6.01309476770715
Ganc	-0.0162638052806916	1.16188200788839
Garnl3	-0.890307938855918	-1.66306688796212
Gas6	-0.144417197229108	-0.000130290669879604
Gbgt1	-9.61845276513979e-05	1.24693218340242
Gmfb	-0.0847751715522981	-2.2124547204584
Gnas	-0.133689582696421	-4.07140249550298
Golga3	-0.0187989579008029	-0.829103077446483
Gp9	-2.57041266826559	0.147304696181606
Gpm6b	-0.493114759428093	0.386382250122458
Gpr34	-47.2441457472188	-7.86567833367394
Gpr37l1	-0.440730270537719	0.26773532034717
Gtf2h2	-0.574044600721573	-3.33737863633737
Havcr2	0.0661759130468789	0.197621752840886
Hexb	-7.35177690473965	-2.66301371040099
Hmgn1	-0.0441681731248698	1.81683798764033
Hpgds	-11.7550134915167	-1.10901940657031
Hps4	-0.032191420516971	0.434967000755558
Hspa1a	-18.0055556057239	-8.39946006466367
Hvcn1	-0.438865611788674	-0.289585977656204
Icam1	1.67178450228348	-0.228045445096102
Il10ra	-0.324529903696108	-1.80370462600902
Il10rb	-0.029119808094637	-0.225338072984318
Il18	-0.0247235874213286	11.608445764949
Il1a	1.48332596152228	-1.09529526689319
Il1rl2	-0.0448654034565442	7.15572717725416e-07
Il21r	-0.493760609651595	-3.85898434291603
Inpp4b	-3.48363364793813	-0.164324827237597
Itga6	-6.83145014977976	-4.34153561703928
Itga9	-0.20505873616343	-2.13837702114802
Itgb5	-1.22347407642768	-5.63964398785573
Jam2	-1.40018112844346	0.000896564633488871
Jun	-1.49881483140914	-13.8707243749942
Kcnk13	-0.0950341068193076	0.535738184883698
Kctd12	-5.57117717674671	-7.99653546576848
Khdrbs3	-0.328880096812969	-2.3206636672871
Kl	0.0415334122829359	1.59996481920558
Lag3	-7.61572380130796	0.0264828685860571
Lair1	-1.57020710732248	-1.86683904544861
Lgmn	-0.254563242655513	-1.12552458525507
Limk1	-0.0562547216541252	1.04306852938741
Lrrc3	0.0362837988064205	-0.427487969258531
Ltc4s	-0.20040732682321	-15.3298012804608
Ly96	-0.128790920033398	-0.0228349136157692
Mafb	1.20226373843785	-6.42079170793758
Map2k1	-0.361760040561894	-8.84596407096632
Map3k7	-0.0329424097310059	-0.690790899840678
Mapk14	-0.443283982792571	0.0295787797429501
Mef2a	-0.886891959708772	-6.86191143856453
Mef2c	-0.424359900279313	-7.4878187353451
Mef2d	-0.0156628739564275	4.17436790500128
Mertk	-0.899916588390506	-0.60831172485047
Mmp2	-0.0726326501842978	-2.36443788685534
Myc	0.450199667843375	7.09190086167368
Myef2	-0.00144668303707293	0.45731375074127
Myo1b	-0.591830349022565	-2.42691279583402
Necap1	-0.00756859979592884	6.09379460946427
Nedd1	3.92820135725671e-05	3.41380879187651
Nfia	-0.0323315208132808	0.0493374896946387
Nfkb1	-0.0890129963311454	-2.26364210925832
Npl	4.08871726542369e-05	0.476429997582851
Npnt	-0.0111512561395441	-0.516384384950429
Nr3c1	-5.07325677842626	-2.62349709647422
Nrip1	-1.09147403876869	-2.31769572919656
Nuak1	-0.77495244054841	-9.42955396670691
Olfml3	-116.489204916146	-13.5212432688954
Ophn1	-0.755166743780207	-0.0332865501381256
P2rx7	-0.100872615437582	1.44987458585776
P2ry12	-119.419785519928	-11.6969227774038
P2ry13	-44.3833719628907	-5.51815862533494
P2ry6	0.539930182559528	-2.73098727036738
P4ha1	-2.28168871900757	-6.78312497068733
Pak1	-0.720441437247651	-1.00335460021927
Pde3b	-1.59826948396655	-5.96862259014179
Pdgfa	-0.0700723705137962	0.0108735067195443
Pdgfb	-4.97609682864585	-5.39875102655182
Pea15a	-0.0102124168522012	-0.0172910858820313
Pgrmc1	0.00237366486897898	-2.7959846769612
Pla2g15	-2.24386437690974	-11.0270372784846
Plxdc2	-22.8689862823621	-7.05245092860188
Pmepa1	-6.13167971276617	-2.04999925717326
Pmp22	0.568951282365235	-5.05778225433305
Polr2b	-0.012354039553183	-0.0257359311589968
Pon3	-0.0349829920949497	-5.72147082012028
Ppfia4	-0.313602354309667	0.895023459184501
Ppp1r15a	4.03018389932878	-5.36007908947913
Ppp1r9a	-0.187171645453526	-4.34584916223256
Pros1	-1.29338767382981	-9.50271695480505
Psd	-0.000474590384125906	0.493280084980034
Ptgfrn	-0.00329521310648227	-4.18949458870989
Ptms	0.00987998716724019	-2.24262236828368
Rab3il1	-4.21588378444737	-8.18243592083975
Rap1gds1	-1.06247102542517	-2.99834105738863
Rapgef5	-4.68261863582623	-4.86747484482828
Rasgrp3	-2.09985324775312	-6.9142663994039
Rbbp9	-0.0235652828632126	-1.20178114565101
Rgl1	-0.216872349013824	0.0171254606406937
Rgmb	-0.0721068203259686	0.368791667176859
Rgs1	3.3713315612397	1.0023290728616
Rhob	0.0574532080668922	-9.99984795009034
Rilpl1	-0.0161544515687768	-16.082784901499
Rnf180	-0.0392245630644636	0.0964780254212579
Rock2	-3.14850353839282	0.362396913200418
Rptor	-1.70964214911784	0.733325808300444
Rtn4rl1	-3.29502547937059	-2.96657638428916
Rufy3	-0.00279286948147858	-1.01010756335543
Sall1	-5.42699044283868	-5.11674062077111
Sbf2	-0.650486720051386	0.451132172742361
Scarb2	-1.20397504591901	-1.07631685359014
Scoc	-1.59129607649316	-1.51131355926589
Sec22b	-0.0135990742628948	1.3660624968113
Serpine2	-1.16938584482632	-19.4112969668888
Sesn1	-0.0037816952231845	-4.07650858541787
Sgce	-0.759193143690454	-0.0736529377753224
Siglech	-42.4824466543951	-10.4745569001291
Sirt2	-0.00306344466118281	-0.183503323431651
Slc12a2	-3.04525245238263	7.33848641855456
Slc1a3	-0.012441169528245	-0.00244985134256856
Slc2a5	-56.4183025668715	-1.70844023572551
Slc46a1	-0.237966212914313	-1.63693673389953
Slc4a2	-0.0209698992335336	-1.3433392440303
Slc7a8	-3.30025144938862	-2.68002800079272
Slco2b1	-2.71802915657645	-6.33286106920568
Sncaip	-0.0564521640594581	4.1174830674762
Snn	-1.418022272759	-6.76478260592642
Socs3	1.94528309138394	-0.597824013360168
Sparc	-68.1368359126168	-2.29932356796816
Spire1	-0.128155524773746	-0.0506433586896182
Spsb1	-0.0574797486112335	-4.20300933021033
St3gal6	-1.34391056015124	-6.86924224647308
Stab1	-0.443415345302057	-15.7093598650917
Sv2a	0.000549804517803724	-1.83334619269307
Syngr1	1.27776799169209	0.244503387435864
Synj1	-0.00923137737583139	1.07537266112117
Tgfa	-0.0338033470227719	-1.84099977866778
Tgfb1	-2.09929112375728	-1.09613970732248
Tgfbr1	-16.6909361679139	-8.12156851331022
Tgfbr2	-0.661948828621554	-3.42777767092053
Timp2	-0.607959164484813	-4.6628280144713
Tjp1	-0.855427711945593	-0.81465088066869
Tlr1	0.0199571395917056	0.489307747307772
Tlr2	9.80860229472673	-0.167360146355723
Tlr3	-0.676357345419029	-0.800388518425678
Tlr4	-0.0418332756569854	-2.85615631447378
Tlr5	-0.0310199597224482	-0.744708805075457
Tlr6	-0.000475642015278192	-0.236415571271241
Tlr7	1.55389801698345	-1.05694849529029
Tm9sf4	-0.000801488633652751	-4.86630167756264
Tmc7	-0.0549233948037559	0.0188971077386197
Tmcc3	0.0897394365662953	-15.0137083548475
Tmem119	-31.6298655184682	-6.065394260879
Tmem206	-0.0281431018417724	-1.91378637092012
Tmem64	-0.181231104627986	-0.101941706026992
Tmem86a	-0.322304547918353	6.51060530358349e-05
Tnfrsf11a	0.0348812011651745	-3.35185573038491
Tppp	-0.631835649682131	-4.57253063421458
Trappc10	-0.0111556497735948	0.0206442893358682
Trim47	-0.0262014405042054	0.000577474620358121
Tspan4	-0.235720840726134	1.09941313649105
Tspan7	-0.143855599581065	-2.87184113300225
Ttc28	-0.564575558443957	-0.716423628787704
Tubgcp5	-0.0818452886382627	-4.67809691709444
Upk1b	-6.63151759287306	-0.215176687084884
Usp2	-0.0146528524562385	0.487092077986168
Vps11	-0.0436628202066263	-4.12974588797522
Vta1	-0.0251341242742917	-5.13920368526023
