	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Mcl1	0	-0.359606332429826	0.358	0.514	0	1	Mcl1
Hspd1	0	-0.371459731518353	0.294	0.452	0	1	Hspd1
Ifrd1	0	-0.38767722343909	0.112	0.338	0	1	Ifrd1
Fosb	0	-0.410548193217686	0.178	0.388	0	1	Fosb
Ier5	0	-0.428551376809296	0.498	0.671	0	1	Ier5
Id2	0	-0.437912142172991	0.257	0.464	0	1	Id2
Klf4	0	-0.438072761731861	0.188	0.388	0	1	Klf4
H2-D1	0	-0.441605460501149	0.543	0.714	0	1	H2-D1
Ier3	0	-0.45129957298516	0.111	0.316	0	1	Ier3
Jund	0	-0.463074703402373	0.753	0.828	0	1	Jund
Hspa1b	0	-0.473989011034716	0.573	0.687	0	1	Hspa1b
Rgs1	0	-0.480736670287945	0.37	0.552	0	1	Rgs1
Fth1	0	-0.488324701264706	0.995	0.952	0	1	Fth1
Ppp1r15a	0	-0.503287736727735	0.299	0.577	0	1	Ppp1r15a
Zfp36	0	-0.509369459541278	0.237	0.492	0	1	Zfp36
Ftl1	0	-0.519642606292155	0.983	0.992	0	1	Ftl1
Jun	0	-0.531344392321088	0.814	0.858	0	1	Jun
Egr1	0	-0.549375047816856	0.433	0.646	0	1	Egr1
Mt1	0	-0.554087865000041	0.452	0.6	0	1	Mt1
Ier2	0	-0.569141120036219	0.149	0.424	0	1	Ier2
H3f3b	0	-0.574574070818114	0.843	0.834	0	1	H3f3b
Hspa1a	0	-0.576989909388363	0.798	0.844	0	1	Hspa1a
Hspe1	0	-0.592367068235879	0.434	0.579	0	1	Hspe1
Gadd45b	0	-0.59703912019997	0.122	0.408	0	1	Gadd45b
Hspa8	0	-0.611407283998095	0.94	0.907	0	1	Hspa8
Klf2	0	-0.617129453137543	0.701	0.776	0	1	Klf2
Klf6	0	-0.640518127611524	0.493	0.699	0	1	Klf6
Hmox1	0	-0.640840625815649	0.226	0.416	0	1	Hmox1
Ubc	0	-0.64698947782439	0.694	0.769	0	1	Ubc
Dnajb1	0	-0.661076063498344	0.229	0.431	0	1	Dnajb1
Btg2	0	-0.670372651557778	0.505	0.707	0	1	Btg2
Cd83	0	-0.688598606940888	0.248	0.504	0	1	Cd83
Cd74	0	-0.698671828603342	0.102	0.343	0	1	Cd74
Ccrl2	0	-0.70109801481448	0.115	0.417	0	1	Ccrl2
Hsp90aa1	0	-0.764683977892824	0.755	0.822	0	1	Hsp90aa1
Dusp1	0	-0.77604752068228	0.296	0.587	0	1	Dusp1
Junb	0	-0.800929322009423	0.519	0.744	0	1	Junb
Fos	0	-0.804209338408485	0.475	0.696	0	1	Fos
Nfkbia	0	-0.808160248298296	0.309	0.569	0	1	Nfkbia
Atf3	0	-1.03757489054253	0.486	0.729	0	1	Atf3
Ccl3	0	-1.09743990086368	0.305	0.591	0	1	Ccl3
Ccl4	0	-1.10299228251942	0.508	0.7	0	1	Ccl4
Apoe	0	-1.68957147882083	0.906	0.881	0	1	Apoe
Socs3	1.22024735467295e-276	-0.288030630808798	0.183	0.334	2.35312499875132e-272	1	Socs3
Adamts1	4.85812958205858e-269	-0.354345136724504	0.277	0.44	9.36841708604176e-265	1	Adamts1
Herpud1	1.07915814924117e-238	-0.270559113144774	0.272	0.406	2.08104857499666e-234	1	Herpud1
Lyz2	2.17946276432216e-224	-0.375546910197886	0.423	0.537	4.20287599471886e-220	1	Lyz2
Hspb1	2.78829110735337e-209	-0.66869169959342	0.276	0.4	5.37694057142023e-205	1	Hspb1
Hsph1	6.76495765167057e-208	-0.279880413587902	0.25	0.385	1.30455443354815e-203	1	Hsph1
Cebpb	1.17771051244802e-196	-0.356352063223162	0.441	0.54	2.27109695220476e-192	1	Cebpb
Dnaja1	1.26186147404426e-195	-0.355108062730586	0.435	0.541	2.43337366654695e-191	1	Dnaja1
Icam1	6.25543123532693e-191	-0.264611847554264	0.235	0.354	1.20629735942045e-186	1	Icam1
Chka	2.30410812904666e-181	-0.265461000499966	0.202	0.32	4.44324211605359e-177	1	Chka
Gm26825	2.18679843017491e-174	0.392027546972184	0.431	0.323	4.21702209274929e-170	1	Gm26825
Hsp90ab1	4.94390577560983e-149	-0.309293715087329	0.87	0.853	9.53382789768599e-145	1	Hsp90ab1
Sgk1	3.34785074630667e-148	-0.393118430196716	0.557	0.608	6.45599537917778e-144	1	Sgk1
Hba-a2	8.09808546680771e-148	-3.03983103342237	0.489	0.542	1.5616348014192e-143	1	Hba-a2
Hbb-bt	3.90682537062996e-147	-2.81305015426266	0.409	0.48	7.53392204472281e-143	1	Hbb-bt
Gadd45g	5.37431005156333e-132	-0.318641999579183	0.277	0.384	1.03638195034347e-127	1	Gadd45g
Hba-a1	1.40332569405157e-123	-3.19181182353326	0.55	0.584	2.70617326840904e-119	1	Hba-a1
Ttr	6.15348299588197e-52	-0.267097583852582	0.94	0.929	1.18663766092588e-47	1	Ttr
Hbb-bs	1.7190483009736e-15	-3.34349003560358	0.975	0.96	3.31501274359748e-11	1	Hbb-bs
Jun.1	0	0.516486407962888	0.962	0.824	0	2	Jun
Klf2.1	0	0.427976769492336	0.87	0.733	0	2	Klf2
Rhob	0	0.353875592273523	0.972	0.882	0	2	Rhob
Ier5.1	0	0.349879876495657	0.775	0.592	0	2	Ier5
Atf3.1	0	0.311680442601313	0.858	0.622	0	2	Atf3
Hsp90aa1.1	1.00125472490572e-297	0.319602869308361	0.909	0.784	1.9308196115082e-293	2	Hsp90aa1
Hspa1a.1	1.67075741771419e-295	0.40416053349545	0.929	0.813	3.22188860432004e-291	2	Hspa1a
Fos.1	8.47504768886481e-295	0.353542712255084	0.789	0.602	1.63432819632069e-290	2	Fos
Egr1.1	3.98081606551931e-278	0.296404693142037	0.757	0.552	7.67660570074744e-274	2	Egr1
Junb.1	1.22122286883897e-275	0.345216457257518	0.831	0.65	2.35500618026907e-271	2	Junb
Jund.1	1.60364719098128e-274	0.305533352938389	0.91	0.788	3.09247324308831e-270	2	Jund
Ubc.1	1.91786295096699e-274	0.263805283972655	0.876	0.724	3.69840691464475e-270	2	Ubc
Btg2.1	9.12710953029239e-243	0.297432319361659	0.79	0.622	1.76007180182159e-238	2	Btg2
Klf6.1	8.56897030928614e-240	0.296465318302229	0.784	0.613	1.65244023444274e-235	2	Klf6
Apoe.1	2.06704018629151e-205	-1.47326042878012	0.893	0.888	3.98608029524456e-201	2	Apoe
Xist	7.75418441019683e-204	0.340337325408312	0.539	0.356	1.49531692166236e-199	2	Xist
Hspa1b.1	4.01538787467238e-171	0.268961778724057	0.768	0.634	7.74327397751821e-167	2	Hspa1b
Mafb	6.26975059155801e-166	0.279929452999419	0.854	0.748	1.20905870407605e-161	2	Mafb
Txnip	9.24716529610117e-148	0.330775312276224	0.66	0.548	1.78322335570015e-143	2	Txnip
Dusp1.1	6.2491050893465e-146	0.290792742418212	0.621	0.48	1.20507742542958e-141	2	Dusp1
Adamts1.1	2.86897090340492e-117	0.303531884684866	0.501	0.373	5.53252349012604e-113	2	Adamts1
Rgs2	1.66968310843658e-111	0.251181208995216	0.714	0.615	3.21981690630909e-107	2	Rgs2
Rgs1.1	1.41474274237891e-109	0.255274366338768	0.606	0.479	2.72818990440348e-105	2	Rgs1
Hba-a2.1	1.05845950494517e-107	-2.88683933572775	0.453	0.539	2.04113330933627e-103	2	Hba-a2
Hbb-bs.1	4.13082348924485e-97	-3.24801040278994	0.964	0.965	7.96588001665977e-93	2	Hbb-bs
Hba-a1.1	5.89513814841144e-89	-3.02782207385515	0.515	0.585	1.13681844053966e-84	2	Hba-a1
Hbb-bt.1	5.24589599901514e-86	-2.64886692954159	0.387	0.471	1.01161858445008e-81	2	Hbb-bt
Gadd45g.1	1.4529897307224e-84	0.357930000108752	0.44	0.337	2.80194539672507e-80	2	Gadd45g
Hspb1.1	1.63854205079003e-80	0.253824412468608	0.449	0.348	3.1597644907435e-76	2	Hspb1
Cd74.1	1.3190058481966e-42	-0.432918227737329	0.217	0.281	2.54357087766232e-38	2	Cd74
Lyz2.1	7.83120672140803e-37	-0.256938692142681	0.466	0.509	1.51016990415632e-32	2	Lyz2
Ccl4.1	0	1.31390773778004	0.921	0.602	0	3	Ccl4
Ccl3.1	0	1.24484013759168	0.878	0.451	0	3	Ccl3
Atf3.2	0	1.24416491242395	0.972	0.61	0	3	Atf3
Hsp90aa1.2	0	1.07488071650981	0.965	0.778	0	3	Hsp90aa1
Ubc.2	0	1.06591388302259	0.96	0.715	0	3	Ubc
Cd83.1	0	1.05096309964896	0.815	0.371	0	3	Cd83
Nfkbia.1	0	1.04836367708501	0.861	0.437	0	3	Nfkbia
Ccrl2.1	0	1.04488576020481	0.765	0.263	0	3	Ccrl2
Hmox1.1	0	1.04184950498727	0.687	0.312	0	3	Hmox1
Hspa8.1	0	1.01981813767348	0.996	0.905	0	3	Hspa8
Hspe1.1	0	0.997564307295185	0.795	0.498	0	3	Hspe1
H3f3b.1	0	0.992837557131345	0.973	0.817	0	3	H3f3b
Junb.2	0	0.9245021897567	0.963	0.635	0	3	Junb
Dnajb1.1	0	0.912994701546192	0.661	0.328	0	3	Dnajb1
Klf6.2	0	0.882668021220522	0.936	0.594	0	3	Klf6
Fos.2	0	0.852047336342047	0.893	0.591	0	3	Fos
Sgk1.1	0	0.825440239528228	0.842	0.556	0	3	Sgk1
Dusp1.2	0	0.800862894054506	0.839	0.451	0	3	Dusp1
Btg2.2	0	0.794313905175404	0.926	0.606	0	3	Btg2
Hspa1a.2	0	0.787128851084292	0.961	0.811	0	3	Hspa1a
Gadd45b.1	0	0.785640615852593	0.68	0.27	0	3	Gadd45b
Mt1.1	0	0.7814294657504	0.833	0.515	0	3	Mt1
Egr1.2	0	0.774287247272252	0.886	0.538	0	3	Egr1
Ftl1.1	0	0.714274167734172	0.996	0.988	0	3	Ftl1
Ifrd1.1	0	0.707931085019702	0.65	0.215	0	3	Ifrd1
Hspd1.1	0	0.699941806319175	0.678	0.365	0	3	Hspd1
Hspa1b.2	0	0.699891006965021	0.854	0.624	0	3	Hspa1b
Hsp90ab1.1	0	0.696437094257224	0.969	0.842	0	3	Hsp90ab1
Dnaja1.1	0	0.677137289921366	0.718	0.479	0	3	Dnaja1
Mcl1.1	0	0.674731501649753	0.767	0.423	0	3	Mcl1
Zfp36.1	0	0.667982483177882	0.774	0.363	0	3	Zfp36
Klf2.2	0	0.635033403939521	0.876	0.736	0	3	Klf2
Fth1.1	0	0.633743430892682	0.999	0.959	0	3	Fth1
Ier2.1	0	0.63147200846288	0.667	0.295	0	3	Ier2
Jun.2	0	0.631376204049623	0.981	0.824	0	3	Jun
Ier5.2	0	0.630707152826351	0.917	0.575	0	3	Ier5
Klf4.1	0	0.627156833206272	0.604	0.288	0	3	Klf4
Jund.2	0	0.621611930650885	0.961	0.783	0	3	Jund
Nfkbiz.1	0	0.615073216587224	0.607	0.188	0	3	Nfkbiz
Herpud1.1	0	0.615050110934213	0.673	0.321	0	3	Herpud1
Id2.1	0	0.614688927388917	0.7	0.359	0	3	Id2
Hsph1.1	0	0.598993691714941	0.588	0.309	0	3	Hsph1
Tnf	0	0.595103610975688	0.469	0.127	0	3	Tnf
Cxcl2	0	0.592216790683676	0.278	0.085	0	3	Cxcl2
Rgs1.2	0	0.587239083025449	0.769	0.458	0	3	Rgs1
Ppp1r15a.1	0	0.578252933714909	0.816	0.446	0	3	Ppp1r15a
Ier3.1	0	0.57217793769293	0.53	0.214	0	3	Ier3
Actg1	0	0.565149538862751	0.935	0.793	0	3	Actg1
Hspa5	0	0.55802316476062	0.919	0.745	0	3	Hspa5
Icam1.1	0	0.548780150669374	0.573	0.281	0	3	Icam1
Gem.1	0	0.541935808949822	0.58	0.234	0	3	Gem
Ccnl1.1	0	0.537933399491164	0.749	0.396	0	3	Ccnl1
Cebpb.1	0	0.532995629692552	0.729	0.479	0	3	Cebpb
Il1a	0	0.526260492240592	0.488	0.191	0	3	Il1a
Adamts1.2	0	0.51113586258566	0.621	0.358	0	3	Adamts1
Cxcl10	0	0.494971407501811	0.262	0.084	0	3	Cxcl10
Socs3.1	0	0.486838581584466	0.548	0.251	0	3	Socs3
Nr4a1.1	0	0.486483933192125	0.514	0.2	0	3	Nr4a1
Zfand5	0	0.474214035022445	0.74	0.427	0	3	Zfand5
Neurl3.1	0	0.461766694004286	0.566	0.274	0	3	Neurl3
Ubb	0	0.437279374823292	0.939	0.851	0	3	Ubb
Pnrc1	0	0.42302751978517	0.683	0.376	0	3	Pnrc1
Bag3	0	0.420301567171045	0.332	0.142	0	3	Bag3
Plek	0	0.414950844281203	0.629	0.364	0	3	Plek
Tnfaip3	0	0.414284900230315	0.442	0.119	0	3	Tnfaip3
Plk2	0	0.405648240748488	0.379	0.16	0	3	Plk2
Ddx5	0	0.388124772201363	0.932	0.756	0	3	Ddx5
Btg1	0	0.387947856508776	0.754	0.507	0	3	Btg1
Csf1	0	0.387749575027661	0.387	0.162	0	3	Csf1
Rel	0	0.380883284185617	0.5	0.202	0	3	Rel
Fosb.1	0	0.375762016573501	0.538	0.294	0	3	Fosb
Cdkn1a	0	0.373915229984835	0.367	0.15	0	3	Cdkn1a
Bbc3	0	0.369006928475447	0.431	0.133	0	3	Bbc3
Rhob.1	0	0.36842454836686	0.971	0.884	0	3	Rhob
Sqstm1	0	0.361690156681014	0.501	0.253	0	3	Sqstm1
Tagap	0	0.345674500599474	0.383	0.158	0	3	Tagap
Pim1	0	0.34498663286935	0.333	0.1	0	3	Pim1
Rasgef1b	0	0.335246779767946	0.386	0.122	0	3	Rasgef1b
Gpr183	0	0.324495542397895	0.441	0.227	0	3	Gpr183
Kdm6b	0	0.322290243211119	0.385	0.119	0	3	Kdm6b
Osm	0	0.317631792744572	0.339	0.122	0	3	Osm
Tlr2	0	0.316885563063794	0.462	0.236	0	3	Tlr2
Rab20	0	0.30980340211277	0.352	0.105	0	3	Rab20
Map3k8	0	0.303652550890593	0.385	0.127	0	3	Map3k8
Efhd2	0	0.303222817142462	0.758	0.569	0	3	Efhd2
C3ar1	0	0.303181699659525	0.598	0.369	0	3	C3ar1
Zfp622	0	0.302480955535138	0.383	0.16	0	3	Zfp622
Gna13	0	0.29844195706395	0.473	0.237	0	3	Gna13
Maff	0	0.295545534066964	0.308	0.062	0	3	Maff
Pmaip1	0	0.295255265871511	0.38	0.141	0	3	Pmaip1
Ddit3	0	0.292593733316435	0.39	0.185	0	3	Ddit3
Cd74.2	0	0.289694757394754	0.567	0.228	0	3	Cd74
Coq10b	0	0.265895789710091	0.474	0.228	0	3	Coq10b
Klf10	0	0.259124338217118	0.315	0.103	0	3	Klf10
Nfkbid	0	0.254841748632037	0.273	0.076	0	3	Nfkbid
Marcksl1	0	0.25350766454292	0.273	0.104	0	3	Marcksl1
Sap30	0	0.251609524862163	0.296	0.108	0	3	Sap30
Hmgb2	1.09341962516601e-306	0.266599859486415	0.444	0.232	2.10855040517013e-302	3	Hmgb2
Fam46c	2.08437056951717e-300	0.290406464072248	0.531	0.319	4.01950020625691e-296	3	Fam46c
Atf4	3.6675703350179e-299	0.269307644208525	0.502	0.289	7.07254263404853e-295	3	Atf4
Odc1	6.74375298410703e-294	0.264353419688162	0.352	0.165	1.3004653254552e-289	3	Odc1
Chka.1	2.82653832885115e-289	0.395217769362155	0.462	0.259	5.45069651335657e-285	3	Chka
Ncl	6.85698892308284e-289	0.281464688896552	0.604	0.396	1.3223017439273e-284	3	Ncl
Eif1	1.63560056240346e-285	0.271258611618372	0.92	0.799	3.15409212453883e-281	3	Eif1
Pdgfb	4.26917371761925e-280	0.336364201395013	0.5	0.299	8.23267459705696e-276	3	Pdgfb
Basp1	7.91782259909683e-265	0.308043202260571	0.876	0.747	1.52687291000983e-260	3	Basp1
Neat1.1	2.03216538597613e-259	0.287723056017335	0.449	0.249	3.91882773031636e-255	3	Neat1
Eif5	1.43479934728415e-255	0.255211604573214	0.633	0.438	2.76686706130276e-251	3	Eif5
Skil	1.90790166951051e-248	0.253235049831876	0.56	0.364	3.67919757948408e-244	3	Skil
Hspb1.2	3.43640513340926e-228	0.89465026566216	0.502	0.342	6.62676365926641e-224	3	Hspb1
H2-K1.1	3.03086305050817e-222	0.258189073012558	0.783	0.601	5.84471630659995e-218	3	H2-K1
Ptma	4.96034394489556e-219	0.286050864201406	0.865	0.745	9.5655272633366e-215	3	Ptma
Plau	1.24314337019189e-217	0.261699640451949	0.258	0.118	2.39727767507803e-213	3	Plau
Ccl12	5.67095793886272e-212	0.421501925052083	0.356	0.193	1.09358752893029e-207	3	Ccl12
Srgn	6.53375161025388e-209	0.264397824454273	0.625	0.454	1.25996866052136e-204	3	Srgn
Rgs2.1	2.69139311139497e-208	0.393853258243204	0.749	0.612	5.19008247601407e-204	3	Rgs2
Hbb-bs.2	6.08142781835888e-207	-3.30125901149371	0.946	0.967	1.17274254049233e-202	3	Hbb-bs
Gadd45g.2	6.92279669945196e-178	0.364620850012689	0.506	0.33	1.33499211552232e-173	3	Gadd45g
Txnip.1	4.94089812553565e-147	0.37967471037057	0.662	0.551	9.52802794528295e-143	3	Txnip
Hba-a2.2	1.45317023000966e-135	-2.90633671210582	0.435	0.54	2.80229347155062e-131	3	Hba-a2
Hba-a1.2	8.75124514305341e-135	-3.05858727792473	0.489	0.587	1.68759011338642e-130	3	Hba-a1
Gm26825.1	1.04383199217461e-129	-0.486597929549415	0.238	0.372	2.01292561370953e-125	3	Gm26825
Hbb-bt.2	1.52122420772385e-114	-2.6725760356281	0.365	0.473	2.93352876217467e-110	3	Hbb-bt
Glul	3.10970780961557e-107	0.256501398058874	0.764	0.658	5.99676054006267e-103	3	Glul
Apoe.2	0	0.783439017404717	0.998	0.876	0	4	Apoe
Ctsb	0	0.474174057694819	0.998	0.926	0	4	Ctsb
Cd63	0	0.461782884545169	0.905	0.679	0	4	Cd63
Cd9	0	0.404585286933796	0.935	0.81	0	4	Cd9
Lyz2.2	0	0.38132315984444	0.782	0.47	0	4	Lyz2
Ctsz	0	0.37587752608564	0.997	0.916	0	4	Ctsz
Ctsd	0	0.373796858592447	1	0.964	0	4	Ctsd
Fam20c	0	0.31699113471687	0.364	0.142	0	4	Fam20c
Psap	0	0.31001002908285	0.997	0.931	0	4	Psap
Npc2	0	0.308605486228561	0.944	0.797	0	4	Npc2
Ctss	0	0.300185778698246	1	0.95	0	4	Ctss
Cd52.1	2.60851730338848e-300	0.333993982587883	0.659	0.412	5.03026476785435e-296	4	Cd52
Eef1a1	5.1811889546725e-294	0.256572199618196	0.998	0.941	9.99140478019045e-290	4	Eef1a1
Ctsh	6.36078463332952e-289	0.28713152457511	0.922	0.774	1.22661370869126e-284	4	Ctsh
Rpl32	3.34269352599423e-278	0.271722849432398	0.968	0.871	6.44605019552727e-274	4	Rpl32
Rpl10a	2.33981756160242e-273	0.274498037327528	0.929	0.786	4.51210418579411e-269	4	Rpl10a
Man2b1	2.73210161094893e-273	0.28703578031677	0.889	0.73	5.26858474655391e-269	4	Man2b1
Fau	1.83223714152848e-272	0.25202951753771	0.996	0.938	3.53328610372352e-268	4	Fau
Rpl23	5.68178245622193e-271	0.259570619942051	0.986	0.905	1.09567492885784e-266	4	Rpl23
Grn	6.64158886843728e-269	0.282899681470979	0.957	0.851	1.28076399738945e-264	4	Grn
H2-D1.1	1.01836101498367e-268	0.305864980299998	0.846	0.641	1.96380738129451e-264	4	H2-D1
Tmem176a	1.20945732795739e-268	0.318099620003568	0.762	0.561	2.33231751123303e-264	4	Tmem176a
Ctsa	1.19042503802589e-250	0.267757328394797	0.931	0.808	2.29561564332912e-246	4	Ctsa
Rps12	6.17454235386072e-245	0.263649205553581	0.955	0.852	1.1906987475185e-240	4	Rps12
Lpl	5.18647582999448e-236	0.321576996281866	0.296	0.129	1.00015999905614e-231	4	Lpl
mt-Co1	3.73869128257602e-221	0.283950189456113	0.987	0.959	7.20969226931961e-217	4	mt-Co1
B2m	4.64042327546505e-218	0.276057101447109	0.939	0.829	8.94859224440681e-214	4	B2m
Mpeg1	1.20608773136069e-217	0.258768297910134	0.79	0.608	2.32581958115595e-213	4	Mpeg1
Tmem176b	1.85983729248427e-201	0.266223052197058	0.843	0.695	3.58651023482666e-197	4	Tmem176b
mt-Co3	1.09166476521239e-192	0.268906821076107	0.996	0.965	2.10516633323556e-188	4	mt-Co3
Crybb1.1	2.20729277103062e-182	-0.3221573777933	0.274	0.471	4.25654337965544e-178	4	Crybb1
P2ry12.1	2.21484575592759e-130	-0.290811173490503	0.85	0.855	4.27110855573077e-126	4	P2ry12
Hba-a1.3	1.56229938322747e-75	-3.00512486248372	0.516	0.581	3.01273813061585e-71	4	Hba-a1
Fcrls.1	4.48874715847891e-72	-0.260313085169251	0.633	0.7	8.65610002041074e-68	4	Fcrls
Hba-a2.3	6.97740778730794e-71	-2.84586751228622	0.466	0.533	1.34552331770446e-66	4	Hba-a2
Hbb-bt.3	5.34399113147958e-68	-2.62212075627137	0.386	0.468	1.03053524979452e-63	4	Hbb-bt
Hbb-bs.3	2.13264707806899e-41	-3.16364057147888	0.962	0.965	4.11259662534824e-37	4	Hbb-bs
Ubc.3	2.40384245110264e-40	-0.325560228433481	0.732	0.748	4.63556978270633e-36	4	Ubc
Dnajb1.2	3.29510032929407e-25	-0.3147644281777	0.322	0.376	6.35427147501068e-21	4	Dnajb1
Hspb1.3	1.45058116157121e-08	-0.280733266404822	0.34	0.366	0.000279730071197391	4	Hspb1
Apoe.3	0	2.29657583956171	1	0.879	0	5	Apoe
Spp1	0	1.26328540331937	0.506	0.097	0	5	Spp1
Lyz2.3	0	1.00709274158387	0.892	0.469	0	5	Lyz2
Cd63.1	0	0.699325758819979	0.959	0.681	0	5	Cd63
H2-D1.2	0	0.651480219395638	0.939	0.639	0	5	H2-D1
Cd52.2	0	0.628909058054943	0.808	0.407	0	5	Cd52
Ctsb.1	0	0.62699031472907	0.999	0.928	0	5	Ctsb
Lpl.1	0	0.607513877107472	0.448	0.121	0	5	Lpl
Fth1.2	0	0.588641113125122	1	0.961	0	5	Fth1
Cst7	0	0.538484659061209	0.417	0.058	0	5	Cst7
Lgals3bp	0	0.518515399850229	0.545	0.219	0	5	Lgals3bp
Rpl23.1	0	0.487830418605423	0.996	0.907	0	5	Rpl23
Cd9.1	0	0.487415580102753	0.957	0.812	0	5	Cd9
Apoc1	0	0.483929269896425	0.264	0.031	0	5	Apoc1
Axl	0	0.480536200169566	0.571	0.121	0	5	Axl
Rpl10a.1	0	0.465005905357492	0.97	0.787	0	5	Rpl10a
Npc2.1	0	0.464962121382074	0.967	0.8	0	5	Npc2
Rpl32.1	0	0.449724775836841	0.987	0.872	0	5	Rpl32
Cd74.3	0	0.439613874713052	0.556	0.247	0	5	Cd74
Timp2	0	0.439311780923738	0.867	0.636	0	5	Timp2
Rpl41	0	0.438592007424591	0.982	0.883	0	5	Rpl41
Ctsd.1	0	0.434604793512838	1	0.965	0	5	Ctsd
Rps28	0	0.425102230391776	0.949	0.762	0	5	Rps28
Tmem176a.1	0	0.424003799260974	0.816	0.562	0	5	Tmem176a
Fau.1	0	0.422938055412699	0.999	0.94	0	5	Fau
B2m.1	0	0.422256767445831	0.963	0.83	0	5	B2m
Rpl37a	0	0.403590045340629	0.985	0.88	0	5	Rpl37a
Rps12.1	0	0.402784970534182	0.978	0.853	0	5	Rps12
Eef1a1.1	0	0.398179543311772	0.998	0.942	0	5	Eef1a1
Ctsz.1	0	0.397384324498214	0.996	0.919	0	5	Ctsz
Fabp5	0	0.387871568993387	0.323	0.079	0	5	Fabp5
H2-K1.2	0	0.387022323856574	0.843	0.606	0	5	H2-K1
Rps2	0	0.384539082226281	0.866	0.649	0	5	Rps2
Rpl39	0	0.372986743534935	0.987	0.887	0	5	Rpl39
Rpl26	0	0.372456957560809	0.961	0.841	0	5	Rpl26
Rpsa	0	0.368049052962996	0.97	0.825	0	5	Rpsa
Rps16	0	0.365033020616623	0.988	0.882	0	5	Rps16
Rpl27a	0	0.363605814725234	0.993	0.912	0	5	Rpl27a
Rps20	0	0.361764960888221	0.976	0.855	0	5	Rps20
Rps5	0	0.351633658060787	0.967	0.826	0	5	Rps5
Fam20c.1	0	0.349994267866175	0.404	0.145	0	5	Fam20c
